PHY,Channel Count,Sample Rate [Hz],TX Power [dBm],Current [mA],Base Current [mA],Peak Current [mA]
2M,8,2500,-12,4.92,1.68,20.77
2M,8,2500,-12,4.91,1.76,20.39
2M,8,2500,-12,4.78,1.76,20.77
2M,8,2500,-12,4.88,1.68,20.70
2M,8,2500,-12,4.90,1.68,20.93
2M,8,2500,-8,4.90,1.68,21.31
2M,8,2500,-8,4.98,1.68,22.76
2M,8,2500,-8,4.78,1.76,21.77
2M,8,2500,-8,5.06,1.68,21.23
2M,8,2500,-8,4.95,1.68,22.15
2M,8,2500,-4,5.13,1.68,21.31
2M,8,2500,-4,4.86,1.68,21.08
2M,8,2500,-4,5.20,1.68,20.85
2M,8,2500,-4,5.15,1.76,21.16
2M,8,2500,-4,5.10,1.68,20.77
2M,8,2500,0,5.57,1.76,22.30
2M,8,2500,0,5.49,1.76,22.30
2M,8,2500,0,5.42,1.68,22.53
2M,8,2500,0,5.41,1.76,22.07
2M,8,2500,0,5.52,1.76,22.38
2M,8,2500,4,7.42,1.76,33.37
2M,8,2500,4,7.42,1.68,33.68
2M,8,2500,4,7.54,1.76,33.68
2M,8,2500,4,7.61,1.76,33.53
2M,8,2500,4,7.53,1.76,33.68
2M,8,2500,8,9.67,1.68,45.29
2M,8,2500,8,9.44,1.76,44.91
2M,8,2500,8,9.58,1.76,45.36
2M,8,2500,8,9.58,1.68,45.52
2M,8,2500,8,9.43,1.76,45.14
2M,8,5000,-12,7.05,1.60,21.31
2M,8,5000,-12,6.94,1.60,21.46
2M,8,5000,-12,6.88,1.68,22.38
2M,8,5000,-12,6.72,1.68,21.16
2M,8,5000,-12,7.23,1.68,21.31
2M,8,5000,-8,7.44,1.60,21.38
2M,8,5000,-8,6.97,1.60,22.38
2M,8,5000,-8,7.37,1.68,21.31
2M,8,5000,-8,7.24,1.68,21.23
2M,8,5000,-8,7.18,1.68,21.23
2M,8,5000,-4,7.52,1.68,20.85
2M,8,5000,-4,7.59,1.60,21.31
2M,8,5000,-4,7.47,1.68,20.93
2M,8,5000,-4,7.49,1.68,21.31
2M,8,5000,-4,7.54,1.68,21.54
2M,8,5000,0,8.12,1.68,22.30
2M,8,5000,0,8.38,1.68,22.38
2M,8,5000,0,8.25,1.68,22.53
2M,8,5000,0,8.24,1.68,22.30
2M,8,5000,0,8.22,1.76,22.45
2M,8,5000,4,12.48,1.68,33.91
2M,8,5000,4,12.48,1.68,33.76
2M,8,5000,4,12.15,1.60,33.83
2M,8,5000,4,12.37,1.60,33.83
2M,8,5000,4,12.09,1.68,33.68
2M,8,5000,8,16.36,1.68,45.52
2M,8,5000,8,15.43,1.68,45.52
2M,8,5000,8,17.29,1.68,45.52
2M,8,5000,8,16.33,1.76,45.44
2M,8,5000,8,16.68,1.68,45.52
2M,8,5000,8,16.32,1.68,45.36
